,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Hawks,Celtics,Nets,Hornets,Bulls,Cavs,Mavericks,Nuggets,Pistons,Warriors,Rockets,Pacers,Clippers,Lakers,Grizzlies,Heat,Bucks,Timberwolves,Pelicans,Knicks,Thunder,Magic,76ers,Suns,Trail Blazers,Kings,Spurs,Raptors,Jazz,Wizards
2003,206,274,218,N/A,323,222,304,209,258,176,255,246,205,426,198,250,168,213,172,398,207,197,298,272,270,259,242,217,226,278
2004,202,290,244,N/A,356,258,338,218,284,188,278,280,208,447,227,236,174,230,216,401,196,199,328,282,272,275,283,249,239,274
2005,232,334,296,N/A,368,298,374,268,363,228,369,311,224,510,238,279,199,291,225,494,205,218,342,356,247,330,324,297,257,273
2006,262,353,271,300,409,356,403,283,402,243,422,324,248,529,294,362,231,303,225,543,234,247,351,395,227,345,350,278,274,318
2007,275,367,325,277,461,380,463,309,429,267,439,340,285,568,313,409,260,308,248,592,268,283,373,410,230,379,390,315,297,334
2008,286,391,338,287,500,455,461,321,477,309,462,333,294,560,304,418,264,308,272,608,269,322,380,449,253,385,405,373,342,348
2009,306,447,295,284,504,477,466,329,480,335,469,303,297,584,294,393,278,301,285,613,300,349,360,452,307,350,415,400,358,353
2010,306,433,269,278,511,476,446,321,479,315,470,281,295,607,257,364,254,268,267,586,310,361,344,429,338,305,398,386,343,313
2011,295,452,312,281,511,355,438,316,360,363,443,269,305,643,266,425,258,264,280,655,329,385,330,411,356,293,404,399,343,322
2012,270,482,357,277,600,329,497,316,332,450,453,283,324,900,269,457,268,272,285,780,348,385,314,395,370,300,418,382,335,328
2013,316,730,530,315,800,434,685,427,400,555,568,383,430,"1,000",377,625,312,364,340,"1,100",475,470,418,474,457,525,527,405,432,397
2014,425,875,780,410,"1,000",515,765,495,450,750,775,475,575,"1,350",453,770,405,430,420,"1,400",590,560,469,565,587,550,660,520,525,485
2015,825,"1,700","1,500",725,"2,000",915,"1,150",855,810,"1,300","1,250",830,"1,600","2,600",750,"1,175",600,625,650,"2,500",930,875,700,910,940,800,"1,000",920,850,900
2016,825,"2,100","1,700",750,"2,300","1,100","1,400",855,850,"1,900","1,500",840,"2,000","2,700",780,"1,300",675,720,650,"3,000",950,900,700,"1,000",975,925,"1,150",980,875,960
2017,885,"2,200","1,800",780,"2,500","1,200","1,450",890,900,"2,600","1,650",880,"2,000","3,000",790,"1,350",785,770,750,"3,300","1,025",920,800,"1,100","1,050","1,075","1,175","1,125",910,"1,000"
2018,"1,150","2,500","2,300","1,050","2,600","1,325","1,900","1,125","1,100","3,100","2,200","1,175","2,150","3,300","1,025","1,700","1,075","1,060","1,000","3,600","1,250","1,225","1,180","1,280","1,300","1,375","1,550","1,400","1,200","1,350"
2019,"1,300","2,800","2,350","1,250","2,900","1,275","2,250","1,375","1,270","3,500","2,300","1,400","2,200","3,700","1,200","1,750","1,350","1,260","1,220","4,000","1,475","1,325","1,650","1,500","1,600","1,575","1,625","1,675","1,425","1,550"
2020,"1,520","3,100","2,500","1,500","3,200","1,510","2,400","1,600","1,450","4,300","2,475","1,525","2,600","4,400","1,300","1,950","1,580","1,375","1,350","4,600","1,575","1,430","2,000","1,625","1,850","1,775","1,800","2,100","1,550","1,750"
2021,"1,680","3,550","3,200","1,575","3,650","1,650","2,700","1,725","1,580","5,600","2,750","1,670","3,300","5,500","1,500","2,300","1,900","1,550","1,525","5,800","1,630","1,640","2,450","1,800","2,050","2,000","1,980","2,475","1,750","1,925"
2022,"1,975","4,000","3,500","1,700","4,100","2,050","3,300","1,930","1,900","7,000","3,200","1,800","3,900","5,900","1,650","3,000","2,300","1,670","1,600","6,100","1,875","1,850","3,150","2,700","2,100","2,030","2,000","3,100","2,025","2,500"
2023,"3,325","4,700","3,850","3,000","4,600","3,350","4,500","3,375","3,075","7,700","4,400","2,900","4,650","6,400","2,400","3,900","3,200","2,500","2,550","6,600","3,050","2,950","4,300","4,000","3,080","3,330","3,250","4,100","3,090","3,500"
2024,"3,800","6,000","4,800","3,300","5,000","3,950","4,700","3,900","3,400","8,800","4,900","3,600","5,500","7,100","3,000","4,250","4,000","3,100","3,050","7,500","3,650","3,200","4,600","4,300","3,500","3,700","3,850","4,400","3,550","4,100"
2025,"5,000","6,700","5,600","3,800","6,000","4,800","5,100","4,600","3,650","11,000","5,900","4,200","7,500","10,000","3,500","5,700","4,300","3,600","3,550","9,750","4,350","3,900","5,450","5,430","4,250","4,450","4,400","5,400","4,100","4,700"
